graph_id,split
4,test
8,test
11,test
19,test
22,test
26,test
38,test
48,test
49,test
50,test
55,test
59,test
63,test
68,test
70,test
74,test
76,test
78,test
84,test
86,test
87,test
102,test
106,test
109,test
110,test
127,test
130,test
135,test
136,test
140,test
151,test
154,test
155,test
158,test
161,test
171,test
174,test
188,test
1,train
3,train
5,train
6,train
7,train
9,train
12,train
13,train
14,train
15,train
16,train
18,train
20,train
21,train
23,train
24,train
25,train
27,train
29,train
30,train
32,train
33,train
34,train
35,train
36,train
37,train
39,train
40,train
41,train
42,train
43,train
44,train
45,train
46,train
47,train
53,train
56,train
57,train
58,train
61,train
62,train
64,train
66,train
67,train
69,train
72,train
77,train
79,train
80,train
81,train
82,train
83,train
88,train
89,train
90,train
91,train
92,train
94,train
95,train
96,train
97,train
98,train
99,train
100,train
101,train
103,train
104,train
107,train
108,train
111,train
112,train
113,train
116,train
117,train
118,train
119,train
120,train
122,train
123,train
124,train
125,train
126,train
128,train
129,train
133,train
134,train
137,train
138,train
139,train
141,train
142,train
143,train
144,train
145,train
147,train
149,train
150,train
153,train
157,train
159,train
160,train
162,train
163,train
164,train
165,train
166,train
167,train
169,train
170,train
172,train
175,train
177,train
178,train
179,train
180,train
181,train
183,train
184,train
185,train
186,train
2,val
10,val
17,val
28,val
31,val
51,val
52,val
54,val
60,val
65,val
71,val
73,val
75,val
85,val
93,val
105,val
114,val
115,val
121,val
131,val
132,val
146,val
148,val
152,val
156,val
168,val
173,val
176,val
182,val
187,val
