graph_id,target
1,1
3,0
5,0
6,1
7,0
9,0
12,1
13,1
14,0
15,1
16,1
18,1
20,1
21,1
23,1
24,1
25,1
27,1
29,1
30,1
32,1
33,1
34,0
35,1
36,0
37,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,1
53,1
56,1
57,1
58,1
61,1
62,0
64,1
66,0
67,1
69,1
72,1
77,0
79,1
80,1
81,1
82,1
83,1
88,0
89,0
90,1
91,1
92,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
103,1
104,1
107,1
108,1
111,0
112,1
113,0
116,0
117,1
118,1
119,0
120,0
122,1
123,0
124,0
125,1
126,1
128,1
129,0
133,0
134,1
137,1
138,0
139,0
141,0
142,0
143,0
144,0
145,1
147,0
149,1
150,0
153,1
157,1
159,1
160,0
162,1
163,1
164,1
165,1
166,1
167,1
169,1
170,1
172,1
175,0
177,1
178,1
179,0
180,1
181,0
183,1
184,1
185,0
186,0
