graph_id,src,dst
1,11,0
1,22,0
1,32,0
1,23,1
1,31,1
1,41,1
1,24,2
1,29,2
1,34,2
1,4,3
1,28,3
1,29,3
1,38,3
1,39,3
1,3,4
1,14,4
1,28,4
1,29,4
1,38,4
1,39,4
1,6,5
1,7,5
1,26,5
1,5,6
1,7,6
1,8,6
1,5,7
1,6,7
1,19,7
1,25,7
1,6,8
1,9,8
1,10,8
1,25,8
1,35,8
1,8,9
1,10,9
1,19,9
1,21,9
1,25,9
1,35,9
1,8,10
1,9,10
1,20,10
1,0,11
1,22,11
1,32,11
1,31,12
1,33,12
1,41,12
1,14,13
1,15,13
1,34,13
1,39,13
1,4,14
1,13,14
1,15,14
1,39,14
1,13,15
1,14,15
1,38,15
1,17,16
1,18,16
1,19,16
1,36,16
1,16,17
1,18,17
1,19,17
1,16,18
1,17,18
1,19,18
1,35,18
1,7,19
1,9,19
1,16,19
1,17,19
1,18,19
1,20,19
1,21,19
1,35,19
1,10,20
1,19,20
1,21,20
1,9,21
1,19,21
1,20,21
1,0,22
1,11,22
1,30,22
1,40,22
1,1,23
1,24,23
1,31,23
1,34,23
1,41,23
1,2,24
1,23,24
1,33,24
1,7,25
1,8,25
1,9,25
1,5,26
1,27,26
1,37,26
1,26,27
1,28,27
1,36,27
1,3,28
1,4,28
1,27,28
1,2,29
1,3,29
1,4,29
1,22,30
1,31,30
1,32,30
1,1,31
1,12,31
1,23,31
1,30,31
1,33,31
1,41,31
1,0,32
1,11,32
1,30,32
1,40,32
1,12,33
1,24,33
1,31,33
1,34,33
1,41,33
1,2,34
1,13,34
1,23,34
1,33,34
1,8,35
1,9,35
1,18,35
1,19,35
1,16,36
1,27,36
1,37,36
1,26,37
1,36,37
1,38,37
1,3,38
1,4,38
1,15,38
1,37,38
1,3,39
1,4,39
1,13,39
1,14,39
1,22,40
1,32,40
1,41,40
1,1,41
1,12,41
1,23,41
1,31,41
1,33,41
1,40,41
2,1,0
2,2,0
2,3,0
2,0,1
2,2,1
2,3,1
2,0,2
2,1,2
2,3,2
2,4,2
2,0,3
2,1,3
2,2,3
2,4,3
2,2,4
2,3,4
2,5,4
2,4,5
2,6,5
2,14,5
2,5,6
2,7,6
2,14,6
2,6,7
2,8,7
2,14,7
2,15,7
2,7,8
2,9,8
2,14,8
2,15,8
2,8,9
2,10,9
2,15,9
2,18,9
2,9,10
2,11,10
2,18,10
2,10,11
2,12,11
2,19,11
2,11,12
2,17,12
2,19,12
2,16,13
2,20,13
2,24,13
2,5,14
2,6,14
2,7,14
2,8,14
2,7,15
2,8,15
2,9,15
2,18,15
2,13,16
2,20,16
2,24,16
2,12,17
2,19,17
2,22,17
2,9,18
2,10,18
2,15,18
2,11,19
2,12,19
2,17,19
2,13,20
2,16,20
2,24,20
2,22,21
2,23,21
2,25,21
2,17,22
2,21,22
2,23,22
2,21,23
2,22,23
2,25,23
2,26,23
2,13,24
2,16,24
2,20,24
2,25,24
2,26,24
2,21,25
2,23,25
2,24,25
2,26,25
2,23,26
2,24,26
2,25,26
3,1,0
3,2,0
3,9,0
3,0,1
3,2,1
3,9,1
3,0,2
3,1,2
3,3,2
3,9,2
3,2,3
3,4,3
3,5,3
3,3,4
3,5,4
3,6,4
3,3,5
3,4,5
3,6,5
3,7,5
3,8,5
3,4,6
3,5,6
3,7,6
3,8,6
3,5,7
3,6,7
3,8,7
3,5,8
3,6,8
3,7,8
3,0,9
3,1,9
3,2,9
4,1,0
4,2,0
4,9,0
4,0,1
4,2,1
4,3,1
4,8,1
4,0,2
4,1,2
4,3,2
4,9,2
4,1,3
4,2,3
4,9,3
4,10,3
4,11,3
4,15,3
4,5,4
4,6,4
4,9,4
4,4,5
4,6,5
4,7,5
4,4,6
4,5,6
4,7,6
4,11,6
